title,author,narrator,year_published,genre,engagement,age_min,age_max,listening_hours,series_name,series_order,description,listened
Nate the Great,Marjorie Weinman Sharmat,John Lavelle,1972,Mystery,3,6,8,0.5,Nate the Great,1,"Nate is a boy detective who solves neighborhood mysteries with his dog Sludge.",
Cam Jansen: The Mystery of the Stolen Diamonds,David A. Adler,Christina Moore,1980,Mystery,3,6,9,0.5,Cam Jansen,1,"Cam uses her photographic memory to solve mysteries — starting with a jewelry store robbery.",
Encyclopedia Brown: Boy Detective,Donald J. Sobol,Greg Steinbruner,1963,Mystery,3,7,10,2,Encyclopedia Brown,1,"Ten-year-old Leroy uses his encyclopedic knowledge to solve neighborhood cases at twenty-five cents each.",
Chasing Vermeer,Blue Balliett,S. Epatha Merkerson,2004,Mystery,4,9,12,5,,,"Two kids use pentominoes to track down a stolen Vermeer painting and uncover a conspiracy.",
The Parker Inheritance,Varian Johnson,Robin Miles,2018,Mystery,4,9,12,7,,,"Candice finds clues to a treasure hidden decades ago and uncovers her town's ugly history.",
Winterhouse,Ben Guterson,Caitlin Kelly,2018,Mystery,4,9,12,8,Winterhouse,1,"Elizabeth is sent to a mysterious hotel and discovers puzzles magic and a dark secret involving an enchanted book.",
Theodore Boone: Kid Lawyer,John Grisham,Richard Thomas,2010,Mystery,4,9,12,4.5,Theodore Boone,1,"Thirteen-year-old Theo knows more about law than most adults and gets pulled into a murder trial.",
Nancy Drew: The Secret of the Old Clock,Carolyn Keene,Laura Linney,1930,Mystery,4,8,12,3.5,Nancy Drew,1,"Teenage detective Nancy Drew investigates a hidden will and crosses paths with schemers.",
The Boxcar Children,Gertrude Chandler Warner,Aimee Lilly,1924,Mystery,3,7,10,2.5,The Boxcar Children,1,"Four orphaned siblings make a home in an abandoned boxcar and solve a mystery about their grandfather.",
The Invention of Hugo Cabret,Brian Selznick,Jeff Woodman,2007,Mystery,4,9,12,4,,,"An orphan in a Paris train station tends the clocks and tries to fix a broken automaton leading to a stunning secret.",
Tales of a Fourth Grade Nothing,Judy Blume,John Lavelle,1972,Humor,4,7,10,2.5,Fudge,1,"Peter's little brother Fudge is a walking disaster who eats his pet turtle and ruins everything.",
Diary of a Wimpy Kid,Jeff Kinney,Ramon De Ocampo,2007,Humor,5,8,12,2,Diary of a Wimpy Kid,1,"Greg Heffley's diary of surviving middle school — avoiding bullies and trying not to be the least popular kid.",
Captain Underpants: The Adventures of Captain Underpants,Dav Pilkey,Len Forgione,1997,Humor,5,7,10,1,Captain Underpants,1,"George and Harold hypnotize their principal into thinking he's a superhero in his underwear.",
Big Nate: In a Class by Himself,Lincoln Peirce,Fred Berman,2010,Humor,4,8,11,2,Big Nate,1,"Nate gets a fortune saying today will be the best day of his life — everything goes spectacularly wrong.",
The Strange Case of Origami Yoda,Tom Angleberger,Mark Turetsky,2010,Humor,4,8,12,2,Origami Yoda,1,"An origami Yoda finger puppet made by the weird kid starts giving eerily accurate advice.",
Sideways Stories from Wayside School,Louis Sachar,Louis Sachar,1978,Humor,4,7,10,2,Wayside School,1,"A school built thirty stories high one classroom per floor — every floor has its own kind of crazy.",
How to Train Your Dragon,Cressida Cowell,David Tennant,2003,Humor,5,8,12,3.5,How to Train Your Dragon,1,"Scrawny Viking Hiccup must train a dragon but catches the smallest most useless one ever.",
The 13-Story Treehouse,Andy Griffiths,Stig Wemyss,2011,Humor,4,7,10,2,Treehouse,1,"Andy and Terry live in a treehouse with a bowling alley and shark tank — and they have a book due.",
Timmy Failure: Mistakes Were Made,Stephan Pastis,Jared Goldsmith,2013,Humor,4,8,11,3,Timmy Failure,1,"Timmy runs the best detective agency in town — or so he believes. His partner is a polar bear.",
Pippi Longstocking,Astrid Lindgren,Cristin Milioti,1945,Humor,4,7,10,3,,,"The strongest girl in the world lives alone with a horse and a monkey and does exactly as she pleases.",
Mr. Popper's Penguins,Richard Atwater,Jim Dale,1938,Humor,3,7,10,2,,,"A house painter receives a penguin from Antarctica and soon has twelve — wrecking his house.",
The Terrible Two,Mac Barnett,Adam Verner,2015,Humor,4,8,11,3,The Terrible Two,1,"Miles moves to a cow-obsessed town and meets Niles — together they become legendary pranksters.",
Skunk and Badger,Amy Timberlake,Kimberly Farr,2020,Humor,3,7,10,2,Skunk and Badger,1,"Badger's quiet life studying rocks is disrupted when his cheerful cousin Skunk moves in — with chickens.",
Flora & Ulysses,Kate DiCamillo,Dana Ivey,2013,Humor,4,8,11,3,,,"Flora rescues a squirrel from a vacuum cleaner and discovers he now has superpowers including typing poetry.",
My Life as a Book,Janet Tashjian,Jake Goldberg,2010,Humor,4,8,11,3.5,My Life As,1,"Derek hates reading but gets drawn into a real mystery involving a decades-old drowning at summer camp.",
Ungifted,Gordon Korman,Jonathan Todd Ross,2012,Humor,4,9,12,6,,,"Donovan gets sent to a school for geniuses by accident and somehow keeps getting away with it.",
Dork Diaries: Tales from a Not-So-Fabulous Life,Rachel Renee Russell,Jenni Barber,2009,Humor,4,8,12,3.5,Dork Diaries,1,"Nikki's diary chronicles her life as an art scholarship kid surrounded by designer-clad mean girls.",
Stink: The Incredible Shrinking Kid,Megan McDonald,Jason Harris,2005,Humor,3,6,9,1.5,Stink,1,"Stink is the shortest kid in second grade and convinced he's shrinking.",
Judy Moody Was in a Mood,Megan McDonald,Barbara Rosenblat,2000,Humor,3,7,10,2,Judy Moody,1,"Judy starts third grade in a terrible mood until a class project about herself turns things around.",
Junie B. Jones and the Stupid Smelly Bus,Barbara Park,Lana Quintal,1992,Humor,4,6,8,1,Junie B. Jones,1,"Junie B. narrates her hilarious misadventures on the first day of kindergarten.",
Mrs. Piggle-Wiggle,Betty MacDonald,Karen White,1947,Humor,3,6,9,3,Mrs. Piggle-Wiggle,1,"Mrs. Piggle-Wiggle has magical cures for children's bad habits.",
A Wrinkle in Time,Madeleine L'Engle,Hope Davis,1962,Sci-Fi,4,9,12,6,Time Quintet,1,"Meg travels through space and time to rescue her father from a dark force threatening the universe.",
The Giver,Lois Lowry,Ron Rifkin,1993,Sci-Fi,4,10,12,4.5,The Giver Quartet,1,"In a perfect community Jonas inherits the position of Receiver of Memory and discovers the terrible truth.",
When You Reach Me,Rebecca Stead,Cynthia Holloway,2009,Sci-Fi,4,9,12,5,,,"Miranda receives mysterious notes predicting the future and must figure out who's sending them.",
The Search for WondLa,Tony DiTerlizzi,Jenna Lamia,2010,Sci-Fi,4,9,12,8,WondLa,1,"Eva Nine has lived underground her whole life. When she escapes to the surface nothing is what she expected.",
Among the Hidden,Margaret Peterson Haddix,Steven Boyer,1998,Sci-Fi,4,9,12,4.5,Shadow Children,1,"In a future with a two-child limit Luke is an illegal third child who has spent his life in hiding.",
The House of the Scorpion,Nancy Farmer,Raul Esparza,2002,Sci-Fi,4,10,12,11,,,"Matt is a clone of a powerful drug lord and discovers what he was created for.",
The True Meaning of Smekday,Adam Rex,Bahni Turpin,2007,Sci-Fi,4,9,12,9,,,"When aliens invade Tip sets off on a road trip with a rogue alien named J.Lo to find her mother.",
The Last Kids on Earth,Max Brallier,Robbie Daymond,2015,Sci-Fi,5,8,12,3,The Last Kids on Earth,1,"Jack Sullivan barricades himself in a treehouse during a monster apocalypse with junk food and video games.",
A Boy Called Bat,Elana K. Arnold,Dion Graham,2017,Sci-Fi,3,7,10,2.5,Bat,1,"A boy on the autism spectrum desperately wants to keep the baby skunk his vet mother brings home.",
Zita the Spacegirl,Ben Hatke,Cassandra Morris,2010,Sci-Fi,4,7,10,1.5,,,"Zita's best friend is sucked through a portal to another planet and she jumps in after him.",
The Barren Grounds,David A. Robertson,Billy Flett,2020,Sci-Fi,4,9,12,7,The Misewa Saga,1,"Two foster kids discover a portal in their bedroom closet leading to a frozen world of talking animals.",
Interstellar Cinderella,Deborah Underwood,uncredited,2015,Sci-Fi,3,6,8,0.5,,,"A girl who loves fixing spaceships repairs the prince's broken ship at the ball.",
Navigator,RJ Barker,uncredited,2023,Adventure,4,9,12,9,,,"A boy and a witch sail across a magical sea dodging monsters and unraveling an ancient mystery.",
The Ranger's Apprentice: The Ruins of Gorlan,John Flanagan,John Keating,2004,Adventure,5,10,12,8,Ranger's Apprentice,1,"Will is apprenticed to the mysterious Ranger Halt and trained in stealth tracking and combat.",
White Fang,Jack London,Peter Husmann,1906,Adventure,4,10,12,5.5,,,"A wolf-dog hybrid survives the wild of the Yukon and slowly learns to trust a kind human master.",
The Indian in the Cupboard,Lynne Reid Banks,Lynne Reid Banks,1980,Adventure,4,8,12,5,The Indian in the Cupboard,1,"A boy puts a toy figure in a magic cupboard and it comes to life — a tiny real Iroquois man from 1761.",
The Adventures of Tom Sawyer,Mark Twain,Nick Offerman,1876,Adventure,4,9,12,7,,,"Tom Sawyer's mischief along the Mississippi includes witnessing a murder running away and attending his own funeral.",
Flush,Carl Hiaasen,Tamara Marston,2005,Adventure,4,9,12,6,,,"Noah's dad sinks a casino boat to expose its illegal dumping — now Noah has to prove his dad was right.",
Hoot,Carl Hiaasen,Chad Lowe,2002,Adventure,4,9,12,5,,,"Roy teams up with a mysterious barefoot boy to save tiny burrowing owls from a pancake-house construction project.",
Swindle,Gordon Korman,Nick Podehl,2008,Adventure,5,9,12,5,Swindle,1,"Griffin's valuable baseball card is stolen by a crooked dealer. He assembles a team of specialists for a heist.",
The Wild Book,Margarita Engle,Alma Martinez,2012,Adventure,3,8,11,2,,,"A girl with dyslexia in 1920s Cuba finds freedom in the wild book — a notebook she fills with her own words.",
Shipwreck at the Bottom of the World,Jennifer Armstrong,Taylor Mali,1998,Adventure,4,10,12,4,,,"The true story of Shackleton's Antarctic expedition — trapped in ice for months the crew must survive.",
The Sign of the Beaver,Elizabeth George Speare,Avi Roque,1983,Adventure,3,9,12,4,,,"Left alone in the Maine wilderness a boy is helped by a Penobscot boy and learns to survive.",
Mr. Tucket,Gary Paulsen,Jeff Woodman,1994,Adventure,4,9,12,4,Tucket Adventures,1,"Fourteen-year-old Francis is kidnapped by Pawnees on the Oregon Trail and rescued by a mountain man.",
The River,Gary Paulsen,Peter Coyote,1991,Adventure,4,9,12,4,Brian's Saga,2,"Brian returns to the Canadian wilderness with a government psychologist — and must survive again when things go wrong.",
Rascal,Sterling North,uncredited,1963,Animal Stories,3,8,12,4,,,"A boy raises a mischievous pet raccoon through a memorable year in rural Wisconsin.",
The One and Only Bob,Katherine Applegate,Danny DeVito,2020,Animal Stories,4,8,11,3.5,,,"Bob the dog must find courage during a devastating storm to save his best friend Ivan.",
A Dog's Way Home,W. Bruce Cameron,Ann Osmond,2017,Animal Stories,3,8,12,9,,,"Bella the dog is separated from her owner and travels 400 miles through the Colorado wilderness to get home.",
Crenshaw,Katherine Applegate,Kirby Heyborne,2015,Realistic Fiction,3,8,11,3,,,"Jackson's family is about to become homeless again and his imaginary friend — a cat named Crenshaw — reappears.",
New Kid,Jerry Craft,uncredited,2019,Realistic Fiction,4,9,12,3,,,"Jordan is one of the few kids of color at a prestigious private school and must navigate two worlds.",
Amal Unbound,Aisha Saeed,Priya Ayyar,2018,Realistic Fiction,4,9,12,5,,,"A Pakistani girl is forced into indentured servitude for a corrupt landlord and must find a way to fight back.",
Other Words for Home,Jasmine Warga,Lana Cascone,2019,Realistic Fiction,3,9,12,3,,,"Jude and her mother flee Syria to America where she must build a new life — told in verse.",
Prairie Lotus,Linda Sue Park,Traci Kato-Kiriyama,2020,Historical Fiction,3,9,12,6,,,"Hanna a half-Chinese girl in 1880s Dakota Territory fights for her place in a new town.",
Allies,Alan Gratz,uncredited,2019,Historical Fiction,5,9,12,7,,,"D-Day told from multiple perspectives — a soldier a paratrooper a spy a Resistance fighter.",
The Night Diary,Veera Hiranandani,Priya Ayyar,2018,Historical Fiction,3,9,12,5,,,"Half-Hindu half-Muslim Nisha writes to her dead mother as India is torn apart by Partition in 1947.",
Ghost Boys,Jewell Parker Rhodes,Miles Harvey,2018,Realistic Fiction,4,10,12,3,,,"After a twelve-year-old Black boy is shot by police his ghost watches the aftermath alongside Emmett Till.",
